-75,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-75,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-75,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-75,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
-75,9, TEXTURE ,3051,25,30,45,0, FAO , SAMERICA 
-75,9.5, TEXTURE ,3047,25,30,45,0, FAO , SAMERICA 
-75,10, TEXTURE ,3042,25,30,45,0, FAO , SAMERICA 
-75,10.5, TEXTURE ,3037,25,30,45,7, FAO , SAMERICA 
-74.5,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-74.5,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-74.5,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-74.5,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-74.5,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-74.5,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-74.5,3, TEXTURE ,3086,25,30,45,0, FAO , SAMERICA 
-74.5,3.5, TEXTURE ,3085,45,40,15,0, FAO , SAMERICA 
-74.5,4, TEXTURE ,3083,25,30,45,0, FAO , SAMERICA 
-74.5,4.5, TEXTURE ,3081,45,40,15,0, FAO , SAMERICA 
-74.5,5, TEXTURE ,3078,25,30,45,0, FAO , SAMERICA 
-74.5,5.5, TEXTURE ,3076,25,30,45,0, FAO , SAMERICA 
-74.5,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-74.5,6.5, TEXTURE ,3070,25,30,45,2, FAO , SAMERICA 
-74.5,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-74.5,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-74.5,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-74.5,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
-74.5,9, TEXTURE ,3051,25,30,45,0, FAO , SAMERICA 
-74.5,9.5, TEXTURE ,3047,25,30,45,0, FAO , SAMERICA 
-74.5,10, TEXTURE ,3042,25,30,45,0, FAO , SAMERICA 
-74.5,10.5, TEXTURE ,3037,25,30,45,0, FAO , SAMERICA 
-74,0, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-74,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-74,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-74,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-74,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-74,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-74,3, TEXTURE ,3086,25,30,45,0, FAO , SAMERICA 
-74,3.5, TEXTURE ,3085,25,30,45,0, FAO , SAMERICA 
-74,4, TEXTURE ,3083,25,30,45,0, FAO , SAMERICA 
-74,4.5, TEXTURE ,3081,25,30,45,0, FAO , SAMERICA 
-74,5, TEXTURE ,3078,45,40,15,0, FAO , SAMERICA 
-74,5.5, TEXTURE ,3076,45,40,15,0, FAO , SAMERICA 
-74,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-74,6.5, TEXTURE ,3070,25,30,45,0, FAO , SAMERICA 
-74,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-74,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-74,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-74,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
-74,9, TEXTURE ,3051,25,30,45,0, FAO , SAMERICA 
-74,9.5, TEXTURE ,3047,25,30,45,0, FAO , SAMERICA 
-74,10, TEXTURE ,3042,25,30,45,0, FAO , SAMERICA 
-74,10.5, TEXTURE ,3037,25,30,45,0, FAO , SAMERICA 
-74,11, TEXTURE ,3032,25,30,45,0, FAO , SAMERICA 
-73.5,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-73.5,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-73.5,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-73.5,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-73.5,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-73.5,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-73.5,3, TEXTURE ,3086,25,30,45,0, FAO , SAMERICA 
-73.5,3.5, TEXTURE ,3085,25,30,45,0, FAO , SAMERICA 
-73.5,4, TEXTURE ,3083,25,30,45,0, FAO , SAMERICA 
-73.5,4.5, TEXTURE ,3081,25,30,45,0, FAO , SAMERICA 
-73.5,5, TEXTURE ,3078,25,30,45,0, FAO , SAMERICA 
-73.5,5.5, TEXTURE ,3076,45,40,15,0, FAO , SAMERICA 
-73.5,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-73.5,6.5, TEXTURE ,3070,25,30,45,0, FAO , SAMERICA 
-73.5,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-73.5,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-73.5,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-73.5,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
-73.5,9, TEXTURE ,3051,25,30,45,0, FAO , SAMERICA 
-73.5,9.5, TEXTURE ,3047,25,30,45,0, FAO , SAMERICA 
-73.5,10, TEXTURE ,3042,25,30,45,0, FAO , SAMERICA 
-73.5,10.5, TEXTURE ,3037,25,30,45,0, FAO , SAMERICA 
-73.5,11, TEXTURE ,3032,25,30,45,0, FAO , SAMERICA 
-73,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-73,0.5, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-73,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-73,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-73,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-73,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-73,3, TEXTURE ,3086,25,30,45,0, FAO , SAMERICA 
-73,3.5, TEXTURE ,3085,25,30,45,0, FAO , SAMERICA 
-73,4, TEXTURE ,3083,45,40,15,0, FAO , SAMERICA 
-73,4.5, TEXTURE ,3081,25,30,45,0, FAO , SAMERICA 
-73,5, TEXTURE ,3078,45,40,15,0, FAO , SAMERICA 
-73,5.5, TEXTURE ,3076,25,30,45,0, FAO , SAMERICA 
-73,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-73,6.5, TEXTURE ,3070,25,30,45,0, FAO , SAMERICA 
-73,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-73,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-73,8, TEXTURE ,3059,45,40,15,0, FAO , SAMERICA 
-73,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
-73,9, TEXTURE ,3051,45,40,15,0, FAO , SAMERICA 
-73,9.5, TEXTURE ,3047,45,40,15,0, FAO , SAMERICA 
-73,10, TEXTURE ,3042,25,30,45,0, FAO , SAMERICA 
-73,10.5, TEXTURE ,3037,25,30,45,0, FAO , SAMERICA 
-73,11, TEXTURE ,3032,45,40,15,0, FAO , SAMERICA 
-72.5,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
