-70,0, phh2o ,3091,5.11797, SAMERICA
-70,0.5, phh2o ,3091,5.23968, SAMERICA
-70,1, phh2o ,3091,5.48785, SAMERICA
-70,1.5, phh2o ,3090,4.91994, SAMERICA
-70,2, phh2o ,3089,4.91994, SAMERICA
-70,2.5, phh2o ,3088,4.98581, SAMERICA
-70,3, phh2o ,3086,5.0938, SAMERICA
-70,3.5, phh2o ,3085,5.21886, SAMERICA
-70,4, phh2o ,3083,5.16876, SAMERICA
-70,4.5, phh2o ,3081,5.04749, SAMERICA
-70,5, phh2o ,3078,5.06302, SAMERICA
-70,5.5, phh2o ,3076,5.11407, SAMERICA
-70,6, phh2o ,3073,5.11166, SAMERICA
-70,6.5, phh2o ,3070,5.49974, SAMERICA
-70,7, phh2o ,3067,5.49974, SAMERICA
-70,7.5, phh2o ,3063,7.08433, SAMERICA
-70,8, phh2o ,3059,6.98781, SAMERICA
-70,8.5, phh2o ,3055,5.99984, SAMERICA
-70,9, phh2o ,3051,6.71478, SAMERICA
-70,9.5, phh2o ,3047,7.95053, SAMERICA
-70,10, phh2o ,3042,7.95985, SAMERICA
-70,10.5, phh2o ,3037,8.04841, SAMERICA
-70,11, phh2o ,3032,8.04372, SAMERICA
-69.5,0, phh2o ,3091,5.03611, SAMERICA
-69.5,0.5, phh2o ,3091,5.05549, SAMERICA
-69.5,1, phh2o ,3091,5.62983, SAMERICA
