-72.5,0.5, ELEV ,3091,261, SAMERICA 
-72.5,1, ELEV ,3091,278, SAMERICA 
-72.5,1.5, ELEV ,3090,325, SAMERICA 
-72.5,2, ELEV ,3089,291, SAMERICA 
-72.5,2.5, ELEV ,3088,200, SAMERICA 
-72.5,3, ELEV ,3086,234, SAMERICA 
-72.5,3.5, ELEV ,3085,224, SAMERICA 
-72.5,4, ELEV ,3083,210, SAMERICA 
-72.5,4.5, ELEV ,3081,193, SAMERICA 
-72.5,5, ELEV ,3078,305, SAMERICA 
-72.5,5.5, ELEV ,3076,1341, SAMERICA 
-72.5,6, ELEV ,3073,2523, SAMERICA 
-72.5,6.5, ELEV ,3070,2557, SAMERICA 
-72.5,7, ELEV ,3067,1514, SAMERICA 
-72.5,7.5, ELEV ,3063,1138, SAMERICA 
-72.5,8, ELEV ,3059,410, SAMERICA 
-72.5,8.5, ELEV ,3055,37, SAMERICA 
-72.5,9, ELEV ,3051,3, SAMERICA 
-72.5,9.5, ELEV ,3047,34, SAMERICA 
-72.5,10, ELEV ,3042,125, SAMERICA 
-72.5,10.5, ELEV ,3037,224, SAMERICA 
-72.5,11, ELEV ,3032,183, SAMERICA 
-72.5,11.5, ELEV ,3027,37, SAMERICA 
-72,0, ELEV ,3091,274, SAMERICA 
-72,0.5, ELEV ,3091,261, SAMERICA 
-72,1, ELEV ,3091,295, SAMERICA 
-72,1.5, ELEV ,3090,437, SAMERICA 
-72,2, ELEV ,3089,261, SAMERICA 
-72,2.5, ELEV ,3088,230, SAMERICA 
-72,3, ELEV ,3086,213, SAMERICA 
-72,3.5, ELEV ,3085,213, SAMERICA 
-72,4, ELEV ,3083,210, SAMERICA 
-72,4.5, ELEV ,3081,179, SAMERICA 
-72,5, ELEV ,3078,186, SAMERICA 
-72,5.5, ELEV ,3076,247, SAMERICA 
-72,6, ELEV ,3073,427, SAMERICA 
-72,6.5, ELEV ,3070,566, SAMERICA 
-72,7, ELEV ,3067,230, SAMERICA 
-72,7.5, ELEV ,3063,891, SAMERICA 
-72,8, ELEV ,3059,1693, SAMERICA 
-72,8.5, ELEV ,3055,81, SAMERICA 
-72,10, ELEV ,3042,10, SAMERICA 
-72,10.5, ELEV ,3037,27, SAMERICA 
-72,11.5, ELEV ,3027,142, SAMERICA 
-72,12, ELEV ,3021,129, SAMERICA 
-71.5,0, ELEV ,3091,210, SAMERICA 
-71.5,0.5, ELEV ,3091,213, SAMERICA 
-71.5,1, ELEV ,3091,356, SAMERICA 
-71.5,1.5, ELEV ,3090,342, SAMERICA 
-71.5,2, ELEV ,3089,261, SAMERICA 
-71.5,2.5, ELEV ,3088,237, SAMERICA 
-71.5,3, ELEV ,3086,186, SAMERICA 
-71.5,3.5, ELEV ,3085,190, SAMERICA 
-71.5,4, ELEV ,3083,210, SAMERICA 
-71.5,4.5, ELEV ,3081,193, SAMERICA 
-71.5,5, ELEV ,3078,183, SAMERICA 
-71.5,5.5, ELEV ,3076,179, SAMERICA 
-71.5,6, ELEV ,3073,173, SAMERICA 
-71.5,6.5, ELEV ,3070,166, SAMERICA 
-71.5,7, ELEV ,3067,152, SAMERICA 
-71.5,7.5, ELEV ,3063,318, SAMERICA 
-71.5,8, ELEV ,3059,1930, SAMERICA 
-71.5,8.5, ELEV ,3055,1968, SAMERICA 
-71.5,9, ELEV ,3051,61, SAMERICA 
-71.5,10, ELEV ,3042,75, SAMERICA 
-71.5,10.5, ELEV ,3037,68, SAMERICA 
-71.5,12, ELEV ,3021,132, SAMERICA 
-71,0, ELEV ,3091,190, SAMERICA 
-71,0.5, ELEV ,3091,210, SAMERICA 
-71,1, ELEV ,3091,244, SAMERICA 
-71,1.5, ELEV ,3090,254, SAMERICA 
-71,2, ELEV ,3089,234, SAMERICA 
-71,2.5, ELEV ,3088,217, SAMERICA 
-71,3, ELEV ,3086,186, SAMERICA 
-71,3.5, ELEV ,3085,156, SAMERICA 
-71,4, ELEV ,3083,207, SAMERICA 
-71,4.5, ELEV ,3081,213, SAMERICA 
-71,5, ELEV ,3078,190, SAMERICA 
-71,5.5, ELEV ,3076,152, SAMERICA 
-71,6, ELEV ,3073,125, SAMERICA 
-71,6.5, ELEV ,3070,112, SAMERICA 
-71,7, ELEV ,3067,98, SAMERICA 
-71,7.5, ELEV ,3063,102, SAMERICA 
-71,8, ELEV ,3059,488, SAMERICA 
-71,8.5, ELEV ,3055,2523, SAMERICA 
-71,9, ELEV ,3051,1114, SAMERICA 
-71,9.5, ELEV ,3047,264, SAMERICA 
-71,10, ELEV ,3042,660, SAMERICA 
-71,10.5, ELEV ,3037,342, SAMERICA 
-71,11, ELEV ,3032,20, SAMERICA 
-70.5,0, ELEV ,3091,173, SAMERICA 
-70.5,0.5, ELEV ,3091,173, SAMERICA 
-70.5,1, ELEV ,3091,207, SAMERICA 
-70.5,1.5, ELEV ,3090,220, SAMERICA 
-70.5,2, ELEV ,3089,224, SAMERICA 
-70.5,2.5, ELEV ,3088,224, SAMERICA 
-70.5,3, ELEV ,3086,163, SAMERICA 
-70.5,3.5, ELEV ,3085,139, SAMERICA 
-70.5,4, ELEV ,3083,213, SAMERICA 
-70.5,4.5, ELEV ,3081,213, SAMERICA 
-70.5,5, ELEV ,3078,217, SAMERICA 
-70.5,5.5, ELEV ,3076,139, SAMERICA 
-70.5,6, ELEV ,3073,122, SAMERICA 
-70.5,6.5, ELEV ,3070,122, SAMERICA 
-70.5,7, ELEV ,3067,119, SAMERICA 
-70.5,7.5, ELEV ,3063,95, SAMERICA 
-70.5,8, ELEV ,3059,91, SAMERICA 
-70.5,8.5, ELEV ,3055,481, SAMERICA 
-70.5,9, ELEV ,3051,1659, SAMERICA 
-70.5,9.5, ELEV ,3047,999, SAMERICA 
-70.5,10, ELEV ,3042,637, SAMERICA 
-70.5,10.5, ELEV ,3037,589, SAMERICA 
-70.5,11, ELEV ,3032,98, SAMERICA 
-70,0, ELEV ,3091,142, SAMERICA 
-70,0.5, ELEV ,3091,146, SAMERICA 
-70,1, ELEV ,3091,135, SAMERICA 
-70,1.5, ELEV ,3090,261, SAMERICA 
-70,2, ELEV ,3089,203, SAMERICA 
-70,2.5, ELEV ,3088,166, SAMERICA 
-70,3, ELEV ,3086,166, SAMERICA 
-70,3.5, ELEV ,3085,186, SAMERICA 
-70,4, ELEV ,3083,217, SAMERICA 
-70,4.5, ELEV ,3081,244, SAMERICA 
-70,5, ELEV ,3078,251, SAMERICA 
-70,5.5, ELEV ,3076,227, SAMERICA 
-70,6, ELEV ,3073,207, SAMERICA 
-70,6.5, ELEV ,3070,122, SAMERICA 
-70,7, ELEV ,3067,122, SAMERICA 
-70,7.5, ELEV ,3063,98, SAMERICA 
-70,8, ELEV ,3059,105, SAMERICA 
-70,8.5, ELEV ,3055,142, SAMERICA 
-70,9, ELEV ,3051,657, SAMERICA 
-70,9.5, ELEV ,3047,1236, SAMERICA 
-70,10, ELEV ,3042,691, SAMERICA 
-70,10.5, ELEV ,3037,569, SAMERICA 
-70,11, ELEV ,3032,295, SAMERICA 
-69.5,0, ELEV ,3091,108, SAMERICA 
-69.5,0.5, ELEV ,3091,91, SAMERICA 
-69.5,1, ELEV ,3091,105, SAMERICA 
-69.5,1.5, ELEV ,3090,132, SAMERICA 
-69.5,2, ELEV ,3089,152, SAMERICA 
-69.5,2.5, ELEV ,3088,152, SAMERICA 
-69.5,3, ELEV ,3086,163, SAMERICA 
-69.5,3.5, ELEV ,3085,193, SAMERICA 
-69.5,4, ELEV ,3083,227, SAMERICA 
-69.5,4.5, ELEV ,3081,234, SAMERICA 
-69.5,5, ELEV ,3078,240, SAMERICA 
-69.5,5.5, ELEV ,3076,230, SAMERICA 
-69.5,6, ELEV ,3073,169, SAMERICA 
-69.5,6.5, ELEV ,3070,102, SAMERICA 
-69.5,7, ELEV ,3067,102, SAMERICA 
-69.5,7.5, ELEV ,3063,85, SAMERICA 
-69.5,8, ELEV ,3059,112, SAMERICA 
-69.5,8.5, ELEV ,3055,102, SAMERICA 
-69.5,9, ELEV ,3051,179, SAMERICA 
-69.5,9.5, ELEV ,3047,623, SAMERICA 
-69.5,10, ELEV ,3042,748, SAMERICA 
-69.5,10.5, ELEV ,3037,410, SAMERICA 
-69.5,11, ELEV ,3032,156, SAMERICA 
-69,0, ELEV ,3091,91, SAMERICA 
-69,0.5, ELEV ,3091,91, SAMERICA 
-69,1, ELEV ,3091,91, SAMERICA 
-69,1.5, ELEV ,3090,122, SAMERICA 
-69,2, ELEV ,3089,152, SAMERICA 
-69,2.5, ELEV ,3088,183, SAMERICA 
-69,3, ELEV ,3086,173, SAMERICA 
-69,3.5, ELEV ,3085,163, SAMERICA 
-69,4, ELEV ,3083,183, SAMERICA 
-69,4.5, ELEV ,3081,176, SAMERICA 
-69,5, ELEV ,3078,190, SAMERICA 
-69,5.5, ELEV ,3076,217, SAMERICA 
-69,6, ELEV ,3073,122, SAMERICA 
-69,6.5, ELEV ,3070,81, SAMERICA 
